l2_category_id,l2_category
1741,Bill Breaker
1493,Free Store
1013,Freebie
2039,Print as a service
908,home needs & others
1736,Chocolate Bars
134,Cat Food & Treats
1489,Fresh Vegetables
958,Instant Coffee
1826,Masks & Sanitizers
988,Dishwashing Bars
987,Toilet Cleaners & More
278,Exotics
166,Shampoo & Conditioner
1103,Cocktail Mixers & Tonic Water
1116,Deodorant
696,Bathing Soaps
26,Potato Chips
1702,Chana
1931,Candies
25,Leaf & Dust Tea
1078,Dishwashing Gels & Powder
1452,Flowers & Leaves
1591,6-12 Months
1166,"Besan, Sooji & Maida"
1486,Non-Alcoholic Drinks
133,Dog Food & Treats
1172,Wafer Chocolates
199,Skin Treatment
985,Laundry Additives
725,Mouthwash & Spray
1130,Asian Sauces
1124,Talc Powder
316,Nachos
48,Other Flours
85,Cleaning Needs
1178,Bhujia & Mixtures
1283,Cleaning Accessories
1874,Disinfectant Sprays
1288,Poha
51,Floor Cleaners & More
403,Pet Grooming & Accessories
1280,Brooms & Mops
702,Hair Oil & Serum
29,Namkeen Snacks
54,Detergent Powders
1079,Scrubbers & Cleaning Aids
1367,Fresh Chicken
939,Cookies & Wafers
165,Body Lotions
164,Face Cream & Lotion
1107,Cold Drink Cans
799,Oil & Ghee
1177,Crisps & Puffs
984,Detergent Bars
1737,Filled Bars
1106,Chocolate Health Drinks
1108,Mango Drinks & Juices
27,Chocolate Bestsellers
998,Oral & Nasal Care
1192,Sonamasuri & Kolam
1894,Women's Razors & Trimmers
1313,Noodles & Pasta
699,Handwash
43,Other Pickles
169,Feeding Accessories
1753,Pasta & Macaroni
1936,"Organic Salt, Sugar & Honey"
1935,Rice & Rice Products
1105,Coffee Bags
61,Toothpaste
1298,Daliya
1369,Fresh Mutton
1598,24 Months+
179,Eye Make-Up
1271,Wipers
1770,Drink Mixes
342,Paan
156,Popcorn
1503,Fresh Fruits
1937,"Dry Fruits, Nuts & Seeds"
23,Cold Drink Bottles
1306,Face Care
1561,Black Tea
1198,Rajma
1077,Liquid Detergents
367,Fruit Juices
178,Face Make-Up
1101,Mayonnaise
1933,Mouth Fresheners
1044,Chocolates & Candies
707,Sexual Wellness
1195,Arhar
698,Hand & Foot Care
976,Honey
1099,Cheese Spreads
1173,Chocolate Packs
1109,Herbal Drinks
67,Exotic Meat
803,Spices & Vinegar
96,Breakfast & More
978,Chocolate Spreads
1304,Face Mask & Bleach
932,Cooking Paste & Others
82,Snacks & Munchies
1128,Sauces & Spreads
1134,Mango & Lime Pickles
996,Wipes
946,Cooking Essentials
308,Supplements
1165,Atta
1948,Cigarettes & Tobacco
742,Organic & Hydroponic
21,Health Drinks & Supplements
172,Frozen Peas & Corn
705,"Shaving Cream, Foam & Gel"
720,Roasted & Ground Coffee
41,Instant Noodles
1932,Chewing Gum
1174,Other Chips
701,Hair Colour
1009,Dried Peas & Others
1895,Straighteners & Dryers
1297,Soya
283,Hair Masks & Cream
816,Healthy Snacks
966,Spice Mixes
75,Cough & Cold
87,Vegan Drinks
1119,After Shave Lotion
182,Tools & Brushes
1482,Ponni Rice
1600,Soda
963,Instant Pasta
19,Energy Drinks
1139,Cup Noodles
91,Coldpress
1781,Body Essentials Gift Pack
1983,Multi-Purpose Disinfectants
180,Lipsticks
1453,Rolling Needs
1135,Chyawanprash
1593,0–6 Months
89,Dips
57,Shoe Polish & Brush
8,Kabuli Chana
724,Toothbrush
1138,Hakka Noodles
63,Fresh Fish & Seafood
1131,Tomato & Chilli Ketchups
882,Dairy Products
964,Soup
219,Ice Cubes
44,Cooking Sauces
80,Papad & Fryums
1729,Lip Balm & Scrub
454,Men's Razors & Trimmers
22,Mineral Water
833,Chinese Sauces
931,American Sauces
1589,Filter Coffee
1197,Urad
1113,Bath Accessories
35,Spreads
1375,Salad Dressings
1305,Face Wipes
155,Wound Care And Pain Relief
708,Body Oil & Others
1827,Chutney
290,Smoking Cessation
111,Organic Baby Food
1752,Dessert Mixes
53,Eye Care
927,Italian Sauces
1132,Table Sauces
347,Beard Care & Moustache
106,Flavoured Yogurts
167,Perfumes
655,Beverages
1967,Mother Care
957,Tea
222,Other Frozen Vegetables
1592,12-18 Months
1121,Antiseptic Liquid
1127,Plant Based Meat
704,Hair Styling
999,Baby Gift Set
1425,Batter
358,body mist
181,Nail Colour & More
1694,Munchies Gift Packs
992,Pet Supplement
1597,18-24 Months
1594,Coconut Water
363,More Oral Care Products
71,Makeup Tools
1782,Men's Essentials
24,"Squash, Sharbat & Instant Mixes"
1136,Syrups (1136)
136,Hookah Flavor
78,Hookah Accessories
188,Hookah Consumables
710,Bath & Beauty Gifts
1392,Frozen Chicken
33,Cheese
1094,Yogurt
50,Powdered Spices
1153,Mustard Oil
934,Salt
1092,Cream & Whitener
1163,Seeds
46,Groundnut & Coconut Oil
930,Whole Spices
1360,Sesame/Til Oil
1140,Vermicelli
1156,Soyabean Oil
1389,Farm-Fresh Eggs
1154,Olive Oil
1956,"Buns, Pavs & Pizza Base"
1168,Jaggery & Others
1157,Sunflower Oil
1596,Rice Bran Oil
1155,Health Oil
1307,Muesli & Other Cereals
950,Paneer
49,Sugar
1185,Fresh Milk
1485,Dates
37,Tetra Milk
952,Butter & More
32,Oats
198,Brown & Multigrain Breads
1098,Flakes
