l2_category_id,l2_category
1778,High Protein & Brown Eggs
1097,Speciality Breads
31,Milk & White Breads
130,Condensed Milk
1739,Kids Cereals
1091,Speciality Milk
1169,Sugar Free
949,Curd
138,Tofu
1090,Poly Milk
97,Healthy Proteins
948,Vegan Milk
1104,Green Tea
1001,Bath & Hair Care
1562,Exotic & Flavoured Tea
943,Indian Sweets
1142,Breakfast & Instant Mixes
1196,Moong
45,Other Dry Fruits
1602,Gift Packs
69,Ghee
1002,Baby Skin Care
1162,Almonds & Cashews
1296,Masoor
1320,Dry Fruit Gift Packs
152,Energy Bars
997,Baby Pharma
1159,Vanaspati
1730,"Fresh Sausage, Salami, & Ham"
1968,Herbs & Seasoning
1182,Heat & Eat
40,Canned Food
679,Ready to Cook
62,Healthcare Devices
629,Adult Diapers
298,Digestive Care
1871,Leafies & Herbs
1366,"Frozen Sausage, Salami, Ham"
928,Combo & Recipes
1364,Frozen Fish & Seafood
981,Shower Gels & Scrubs
1070,Kitchen Accessories
982,Air Fresheners
1080,Mosquito Repellents
1777,Gardening
1836,Aroma & Candles
1417,Other Sports
301,Mobile & Computer Accessories
1069,Cutlery & Spoons
1056,Plastic & Glass Containers
1055,Bottles & Flasks
1480,Festive Pooja Needs
1472,Candles
1026,Office Supplies
1838,Creative & Colouring Kits
1445,Lights
1191,"Bedsheets, Mattresses & Covers"
346,Diaries & Notebooks
1027,School Supplies
1286,Laundry Needs
1060,Mugs & Glasses
345,Pens & Markers
1287,Towels
1993,iPhone
1061,Plates & Bowls
1479,Birthday Celebrations
6,Serving Sets/Platters
1955,Thermals
117,Apple Watch
590,"Board Games, Blocks & Puzzles"
1068,"Chopper, Grater & Slicer"
1063,Cookware Set
110,Precious Coins & Bars
1832,Swimming Accessories
1284,Buckets & Mugs
55,Incense Sticks
143,party must haves
81,Wedding Needs
1764,Ethnic Wear
1378,"Blankets, Quilts & Covers"
1399,Bathroom Accessories
389,Festive Gifting
1468,Suitcases & Trolley Bags
1775,Other Accessories
1377,Metal and Ceramic Containers
1833,Garbage Bags
1190,Bean Bags
1065,Pans & Pots
1089,Car Fresheners
1081,Sprays
1066,Tawa & Kadai
1054,Other Pooja Items
394,Soft Toys & Greeting Cards
1059,Casseroles
1828,Socks
1062,Dinner Sets
1999,Exercise & Fitness
1401,Storage Solutions
1470,Backpack & Laptop Bags
591,Diy & Learning
1477,Diwali Needs
1058,Lunch Boxes
1441,"Cushion, Fillers & Covers"
1461,Aprons & Mittens
1442,Sofa Covers & Curtains
1462,Kitchen Towels & Napkins
476,Party Needs
88,Gifting Needs
238,Other Jewellery
1924,Women's Innerwear
1923,Men's Innerwear
1868,Games
1067,Pressure Cookers
360,Floor Mats & Door Mats
1458,Table Covers & Runners
1071,Ladles & Spatulas
1443,"Rugs, Carpets & Runners"
418,"Batteries, Bulbs & Lighting"
1405,Compact Furniture
1469,Duffle & Gym Bags
1414,Hand & Power Tools
1471,Travel Accessories
596,"Collectible,Toygun & Accessories"
576,Sling Bags
122,Frozen Potato Snacks
36,Flavoured Milk & Milk Shake
1093,Lassi & Chaach
1884,Other Appliances
1890,Irons
125,Other Frozen Snacks
1883,"Toasters, Grills & Microwaves"
1164,Basmati
1449,frozen chicken snacks
116,Frozen Indian Breads
1882,"Juicers, Mixers & Grinders"
94,Seafood Snacks - Frozen
1899,"Heaters, Immersion Rods, Geysers"
729,Burners & Induction Cook Tops
514,Frozen Exotic Meat Snacks
86,Mutton Snacks - Frozen
1413,Frozen Veg Snacks
349,Other Stationery Supplies
697,Face Wash & Scrub
1944,Face Wash & Others
1120,Pharma Needs
1595,Hot Chocolate
2000,Cricket
56,Other Repellents
706,Sanitary Pads & Tampons
703,Hair Removal
352,Menstrual Cups
709,Intimate Wash
190,Pantyliners
1791,Intimate Hygiene & Care
84,Diapers
1918,Peanut Butter
1961,Ice Cream
975,Jams
20,Frozen Desserts
28,Cookies
105,Cream Biscuits
971,Baking Ingredients & Mixes
108,Cakes & Rolls
1663,Gourmet Bakery
144,Sweet & Salty
1959,Biscuit Gift Packs
938,Healthy & Digestive
209,Glucose & Marie
107,Rusks & Wafers
395,Freshly Cut & Sprouts
1289,Syrups (1289)
800,Pulses & Millets
113,Kitchen & Dining Disposables
1415,Machine & Car Care
1299,Millets & Others
52,Toilet & Other Disposables
68,Other Rice
1563,Tea & Coffee
801,Flour
93,Ice Tea
412,Cold Coffee
