product_id,order_count
455347,34385
271303,12318
374072,11219
476146,10968
476147,9959
393010,9054
23827,8825
482552,8704
476159,8538
410892,7208
363834,7126
260232,7043
260233,6691
429819,6676
366719,6648
476153,6119
392375,5726
453599,5086
482137,5011
396515,4873
341821,4838
476160,4694
404177,4682
19734,4271
476158,4268
387693,4197
396434,4124
386453,4074
476157,4070
396483,4055
482578,3953
467660,3904
405596,3875
484639,3737
483584,3629
480590,3282
476151,3253
482481,3048
459704,2941
424388,2897
481264,2759
449066,2754
481477,2688
481542,2638
483053,2571
403113,2552
351214,2544
456798,2533
484074,2518
414375,2485
476149,2477
438258,2424
485594,2413
482116,2376
405097,2327
482482,2281
431439,2220
404179,2106
483054,2099
483411,2097
482255,2076
483211,2048
428035,2042
411800,2031
396486,2016
328740,1977
411799,1955
482468,1945
483301,1916
483163,1915
404238,1861
483215,1856
483161,1811
477369,1801
483285,1789
483164,1788
405058,1786
483371,1769
389638,1753
407789,1750
438261,1737
483257,1730
476150,1708
482166,1688
456700,1688
482193,1683
482256,1656
482194,1630
481582,1581
448554,1533
378236,1517
482471,1517
483169,1499
455221,1497
483322,1494
483348,1468
404020,1458
483294,1433
405624,1426
482190,1423
485597,1409
481294,1405
459703,1391
438260,1387
432432,1380
482191,1354
448553,1354
482488,1352
478118,1349
483162,1330
333420,1320
45744,1310
482197,1307
407161,1304
118576,1301
482144,1248
482507,1245
482165,1237
482524,1207
484520,1203
482192,1178
460075,1166
482487,1148
413896,1147
482486,1087
389643,1086
483189,1076
485595,1065
482428,1036
432435,1012
483044,983
482195,968
482196,962
457055,955
404192,920
392761,906
386464,902
485199,896
476148,868
485590,867
404183,852
483258,838
475397,835
483259,834
483055,831
438325,821
469406,818
481449,804
456797,794
377464,780
413899,777
482427,768
482484,764
482283,757
483378,745
478829,738
467680,733
482006,725
484117,722
482147,714
485509,713
374481,711
482118,701
476729,700
455251,699
346908,686
377465,685
383249,676
366887,666
483186,648
344488,647
442436,633
483326,631
405061,626
484597,624
483330,619
388583,616
482504,603
478830,596
484883,593
346910,589
425706,588
13971,587
383683,585
458382,580
423750,579
477611,574
482198,573
482496,561
482489,556
432438,552
386962,549
483749,546
482199,545
482494,543
484088,543
485057,536
369185,533
398860,524
482200,520
482531,519
402637,518
481912,511
485670,501
467683,499
467672,498
476730,495
483343,479
482145,474
485014,474
448181,468
385649,465
475415,463
395774,459
483040,458
482026,456
483368,445
476921,442
483052,439
404166,429
407618,427
460073,425
416050,425
395779,424
401194,418
401295,413
476154,410
482881,408
482284,408
481941,405
403958,402
481911,402
33209,398
483288,392
401271,390
483207,379
388582,370
481584,368
404024,366
476173,363
480876,360
482025,358
413302,348
481450,346
483160,346
445674,342
362989,337
441458,335
483289,330
484565,330
453615,329
445189,323
481914,321
467674,320
481476,319
464095,314
483276,310
483025,292
292964,290
483059,283
483234,283
18842,283
483486,282
485037,278
441456,271
377488,271
425302,265
56748,264
483622,263
485789,263
478621,262
434479,261
482525,256
398859,255
483060,255
182845,254
404209,254
485774,250
5849,249
405015,249
10624,249
483493,248
292959,248
482490,247
82328,241
378444,240
369094,237
438264,237
482982,236
392760,226
447201,226
432464,219
483407,217
484477,214
436910,214
391939,214
481943,213
481940,212
404185,211
485725,210
484571,210
482582,208
484089,207
411167,206
434437,205
365796,204
482117,203
481367,203
403848,203
345052,202
395777,198
442440,190
484503,186
405568,183
413322,183
409927,183
484552,182
19578,177
455249,176
481916,175
57,172
459772,169
483235,168
484555,167
483623,167
482492,167
476961,165
404065,165
466191,162
404169,162
479598,161
405099,160
481293,160
402207,159
481915,159
453681,158
484087,158
453880,156
482983,156
483388,156
483202,156
385024,155
457648,154
407799,152
483300,152
483335,151
484553,148
421366,147
479603,145
483279,141
377036,139
482146,137
402468,136
481492,136
455330,136
486037,133
483173,132
480902,130
481318,129
389240,128
483058,126
414181,126
438150,126
405605,125
27128,122
483192,122
484086,119
483433,118
448180,117
406749,116
481403,113
375292,112
378447,108
379764,108
484638,108
447169,107
463286,107
477270,107
425678,106
481918,106
482500,106
482529,105
484108,105
482426,105
342870,102
464954,102
481746,101
391986,101
401948,101
476152,100
483743,99
117993,99
477273,98
378440,98
485006,97
347214,93
482439,92
27129,92
370146,92
401947,92
482745,91
486046,91
482984,90
95388,90
466179,89
483314,88
466187,88
479609,88
374320,87
423152,87
483379,87
485904,86
482985,85
481741,84
480903,84
455637,82
446443,80
482517,80
487180,76
482497,76
483321,76
457348,75
484190,75
484118,75
485055,75
482289,75
481942,75
378441,74
424298,71
485051,70
485628,69
485198,67
464958,66
396641,65
481555,65
482779,64
477271,64
427969,64
401890,63
469210,63
396680,63
405529,63
488174,63
438365,62
404019,62
436399,62
396640,61
384702,61
359091,61
483179,61
486399,61
455228,60
485562,60
479954,60
486400,59
485097,58
475166,58
483492,58
483353,58
476172,58
463285,57
480919,54
455635,54
484474,54
482499,54
481548,54
482510,54
481368,54
466181,53
481550,53
477561,51
480039,51
403773,51
402610,51
424213,51
457649,50
476627,50
484580,50
485561,50
432775,50
466185,50
481366,49
477631,48
482519,48
432472,48
429486,47
481917,47
482736,47
485775,46
479955,46
480920,46
481619,45
484107,45
486038,45
294778,45
483389,45
484540,45
405528,45
425676,45
447203,45
481549,44
482266,44
482513,44
484483,44
482270,43
482520,43
481617,42
485905,42
483208,41
484139,41
481553,41
484145,41
456790,41
481554,41
485677,40
476156,40
481556,39
481416,39
484133,39
480918,39
